Opened,Date,Product,Christmas,Chinese NY,Weeknum
07/06/2022 15:50:15,07/06/2022,SP4,NO,NO,24
20/01/2022 16:33:08,20/01/2022,SP4,NO,NO,4
12/11/2021 15:43:27,12/11/2021,SP4,NO,NO,46
30/11/2021 12:33:06,30/11/2021,SP4,NO,NO,49
02/05/2022 14:49:50,02/05/2022,SP4,NO,NO,19
08/06/2022 09:03:59,08/06/2022,SP4,NO,NO,24
12/04/2022 16:07:01,12/04/2022,SP4,NO,NO,16
04/01/2022 20:17:00,04/01/2022,SP4,YES,NO,2
11/01/2022 16:10:18,11/01/2022,SP4,NO,NO,3
06/12/2021 22:20:44,06/12/2021,SP4,NO,NO,50
12/01/2022 03:00:27,12/01/2022,SP4,NO,NO,3
12/01/2022 11:09:46,12/01/2022,SP4,NO,NO,3
03/12/2021 15:08:06,03/12/2021,SP4,NO,NO,49
16/12/2021 08:06:24,16/12/2021,SP4,NO,NO,51
12/04/2022 18:03:23,12/04/2022,SP4,NO,NO,16
24/06/2021 08:55:32,24/06/2021,SP4,NO,NO,26
05/10/2021 18:56:37,05/10/2021,SP4,NO,NO,41
23/12/2021 02:50:37,23/12/2021,SP4,NO,NO,52
21/01/2022 22:15:27,21/01/2022,SP4,NO,NO,4
11/02/2022 10:01:18,11/02/2022,SP4,NO,NO,7
21/03/2022 17:13:42,21/03/2022,SP4,NO,NO,13
30/05/2022 17:40:13,30/05/2022,SP4,NO,NO,23
30/05/2022 17:46:24,30/05/2022,SP4,NO,NO,23
10/03/2022 11:43:01,10/03/2022,SP4,NO,NO,11
01/12/2021 14:43:30,01/12/2021,SP4,NO,NO,49
01/04/2022 12:45:34,01/04/2022,SP4,NO,NO,14
27/09/2021 09:05:37,27/09/2021,SP4,NO,NO,40
18/01/2022 14:08:24,18/01/2022,SP4,NO,NO,4
17/01/2022 05:52:22,17/01/2022,SP4,NO,NO,4
27/01/2022 10:50:49,27/01/2022,SP4,NO,NO,5
08/02/2022 10:43:25,08/02/2022,SP4,NO,NO,7
14/02/2022 14:15:26,14/02/2022,SP4,NO,NO,8
04/08/2021 13:48:27,04/08/2021,SP4,NO,NO,32
04/08/2021 17:05:14,04/08/2021,SP4,NO,NO,32
15/02/2022 09:32:10,15/02/2022,SP4,NO,NO,8
16/12/2021 14:59:55,16/12/2021,SP4,NO,NO,51
09/03/2022 02:40:34,09/03/2022,SP4,NO,NO,11
05/08/2021 17:16:15,05/08/2021,SP4,NO,NO,32
01/09/2021 14:20:15,01/09/2021,SP4,NO,NO,36
06/10/2021 12:08:12,06/10/2021,SP4,NO,NO,41
18/10/2021 07:16:10,18/10/2021,SP4,NO,NO,43
22/10/2021 10:32:39,22/10/2021,SP4,NO,NO,43
03/11/2021 12:44:38,03/11/2021,SP4,NO,NO,45
15/11/2021 12:59:39,15/11/2021,SP4,NO,NO,47
24/11/2021 09:27:46,24/11/2021,SP4,NO,NO,48
02/12/2021 23:50:32,02/12/2021,SP4,NO,NO,49
07/12/2021 10:50:36,07/12/2021,SP4,NO,NO,50
13/12/2021 13:41:02,13/12/2021,SP4,NO,NO,51
19/01/2022 07:30:27,19/01/2022,SP4,NO,NO,4
25/01/2022 21:14:18,25/01/2022,SP4,NO,NO,5
08/02/2022 08:10:30,08/02/2022,SP4,NO,NO,7
15/02/2022 19:10:40,15/02/2022,SP4,NO,NO,8
15/02/2022 20:10:42,15/02/2022,SP4,NO,NO,8
